Year,District,Murder,Rape,Kidnaping & Abduction,Robbery,Theft,Riots,"Cheating ,Forgery& Fraud",Counterfeiting,Grievous Hurt,Assault On Women,Death By Negligence,Accidents,Cyber Crime,Dowry deaths
2017,Ariyalur,20,4,22,29,22,46,22,0,592,17,185,481,0,1
2017,Chennai,154,31,54,712,4158,144,637,6,2350,71,1505,6351,52,3
2017,Coimbatore,47,4,21,144,207,30,81,0,965,7,796,1725,0,0
2017,Coimbatore City,21,0,5,104,449,15,143,0,795,5,313,998,19,0
2017,Cuddalore,48,21,14,91,235,102,87,4,1128,34,549,3060,1,6
2017,Dharmapuri,36,2,49,71,218,35,31,0,437,4,372,1138,3,0
2017,Dindigul,36,6,25,111,356,45,106,1,1411,32,600,1266,3,0
2017,Erode,35,1,12,105,264,23,51,2,923,17,649,1728,0,1
2017,Kanchipuram,67,11,10,191,437,94,96,0,2528,3,1004,2254,0,0
2017,Kanyakumari,26,2,18,157,296,0,66,2,872,7,315,880,8,3
2017,Karur,15,3,5,64,136,10,12,1,435,3,339,733,1,1
2017,Krishnagiri,47,2,24,72,234,65,46,0,1004,22,576,1286,1,2
2017,Madurai,48,14,73,167,302,160,244,0,592,26,542,1474,12,1
2017,Madurai City,44,9,13,159,592,30,181,4,454,12,224,710,3,0
2017,Nagapattinam,32,14,23,74,205,36,7,1,2885,16,250,1408,0,3
2017,Namakkal,40,3,14,54,138,24,56,1,422,25,501,1625,1,1
2017,Nilgiris,7,3,3,50,58,11,15,0,170,7,47,198,0,0
2017,Perambalur,6,4,0,23,68,20,7,0,275,33,175,377,1,0
2017,Pudukottai,27,3,22,51,91,28,37,1,939,13,359,860,3,2
2017,Ramnathapuram,33,6,19,111,161,61,23,2,1078,15,286,711,9,1
2017,Railway Chennai,1,0,0,0,1395,3,5,1,50,4,1,1,0,0
2017,Railway Trichy,0,0,0,0,368,2,2,0,19,1,3,0,0,0
2017,Salem,44,8,33,77,124,88,39,1,1303,71,632,1606,4,2
2017,Salem City,21,0,4,56,164,22,26,0,872,1,233,766,3,2
2017,Sivagangai,33,9,25,141,181,71,86,3,2114,23,286,863,3,0
2017,Thanjavur,65,10,47,139,290,122,28,0,1835,26,516,1627,1,1
2017,Theni,29,4,6,100,213,74,71,3,836,14,251,833,0,1
2017,Thirunelveli,75,18,21,283,480,16,173,2,2450,35,502,1435,10,0
2017,Thirunelveli City,13,3,9,34,361,0,52,6,250,7,78,276,2,0
2017,Thiruvallur,41,7,4,137,262,76,68,0,600,2,424,939,2,4
2017,Thiruvannamalai,54,16,21,88,313,97,71,0,771,4,501,1091,0,1
2017,Thiruvarur,25,3,15,93,109,32,29,0,818,10,166,763,4,0
2017,Thoothukudi,69,14,21,235,465,0,175,0,1730,34,378,877,23,0
2017,Tiruppur,29,0,13,82,96,15,45,2,762,12,672,1720,0,1
2017,Tiruppur City,20,1,2,85,242,7,49,0,204,5,169,542,3,0
2017,Trichy,32,7,12,98,155,55,42,0,1228,19,547,1070,4,1
2017,Trichy City,15,4,9,99,376,8,123,2,1172,6,141,504,34,0
2017,Vellore,74,8,51,163,540,0,81,8,2109,38,847,2066,0,2
2017,Villupuram,82,25,302,161,470,218,123,0,1569,54,902,2838,10,6
2017,Virudhunagar,49,3,6,140,191,50,59,0,416,9,478,766,1,2
2018,Ariyalur,17,4,15,24,54,40,27,0,544,10,175,477,0,1
2018,Chennai,172,35,56,511,3891,43,1016,10,2939,83,1457,6474,73,7
2018,Coimbatore,36,1,8,27,281,24,57,0,17,17,910,1569,5,0
2018,Coimbatore City,31,2,10,112,539,13,102,1,690,7,269,887,15,0
2018,Cuddalore,53,19,16,16,255,87,82,3,1627,100,660,2912,3,9
2018,Dharmapuri,35,1,55,17,180,31,34,0,558,9,353,1213,6,0
2018,Dindigul,39,8,51,35,281,56,107,0,1654,31,581,1299,0,1
2018,Erode,22,2,61,51,269,21,61,2,798,13,617,1720,0,1
2018,Kanchipuram,53,13,19,79,331,83,87,0,1530,6,1048,2360,0,2
2018,Kanyakumari,38,9,38,10,332,95,106,5,1248,17,383,1049,9,0
2018,Karur,20,4,5,37,131,19,10,1,383,2,352,772,6,0
2018,Krishnagiri,52,3,26,24,182,71,48,0,1020,19,646,1339,3,2
2018,Madurai,58,11,80,80,291,122,118,2,422,13,526,1268,13,0
2018,Madurai City,43,2,6,120,610,25,216,1,298,11,228,740,0,2
2018,Nagapattinam,27,19,23,43,242,48,13,0,527,38,282,1132,0,4
2018,Namakkal,40,4,12,30,97,25,69,2,480,18,519,1534,0,0
2018,Nilgiris,6,3,3,3,48,9,13,1,194,2,63,215,0,0
2018,Perambalur,13,6,3,14,57,21,10,1,288,27,155,430,0,1
2018,Pudukottai,29,6,20,12,111,24,13,0,830,13,401,864,4,1
2018,Ramnathapuram,37,7,17,33,143,84,31,1,979,1,321,685,20,0
2018,Railway Chennai,3,2,1,191,3943,22,8,0,86,3,1,5,0,2
